createdAt,lat,long,led,cardNumber,location
12/1/2020 0:00,13.78911167,100.60405,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:02,13.78758333,100.6066817,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:04,13.78693167,100.60808,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:06,13.80116833,100.6152983,223,e10-619-40130,Lat Phrao
12/1/2020 0:08,13.79610833,100.613465,223,e10-619-40130,Lat Phrao
12/1/2020 0:10,13.79051667,100.6108817,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:12,13.78812833,100.6097883,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:14,13.78609833,100.6088833,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:16,13.78351667,100.6082317,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:18,13.78053333,100.6078783,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:20,13.77854,100.6075833,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:22,13.77702667,100.60867,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:24,13.78013667,100.6111783,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:26,13.78323,100.6112783,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:28,13.782885,100.610995,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:30,13.78473333,100.6115233,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:32,13.78647667,100.6085167,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:34,13.78668833,100.6081267,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:36,13.78773167,100.60628,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:38,13.786945,100.605085,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:40,13.783225,100.604795,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:42,13.782645,100.600965,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:44,13.78213833,100.594635,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:46,13.78159,100.5902,223,e10-619-40130,Huai Khwang
12/1/2020 0:48,13.78128667,100.5877833,223,e10-619-40130,Huai Khwang
12/1/2020 0:50,13.78113833,100.5865833,223,e10-619-40130,Huai Khwang
12/1/2020 0:52,13.78077,100.584825,223,e10-619-40130,Huai Khwang
12/1/2020 0:54,13.77741833,100.5833117,223,e10-619-40130,Huai Khwang
12/1/2020 0:56,13.77713833,100.5829617,223,e10-619-40130,Huai Khwang
12/1/2020 0:58,13.77749833,100.58157,223,e10-619-40130,Huai Khwang
12/1/2020 1:00,13.777565,100.58009,223,e10-619-40130,Huai Khwang
12/1/2020 1:02,13.77813333,100.57781,223,e10-619-40130,Huai Khwang
12/1/2020 1:04,13.77857833,100.5759583,223,e10-619-40130,Huai Khwang
12/1/2020 1:06,13.77272333,100.573405,223,e10-619-40130,Din Daeng
12/1/2020 1:08,13.76705333,100.57906,223,e10-619-40130,Huai Khwang
12/1/2020 1:10,13.763705,100.5762117,223,e10-619-40130,Huai Khwang
12/1/2020 1:12,13.76643833,100.572825,223,e10-619-40130,Huai Khwang
12/1/2020 1:14,13.76906333,100.5732117,223,e10-619-40130,Huai Khwang
12/1/2020 1:16,13.76903167,100.5733117,223,e10-619-40130,Huai Khwang
12/1/2020 1:18,13.779755,100.5736983,223,e10-619-40130,Din Daeng
12/1/2020 1:20,13.79819,100.5745467,223,e10-619-40130,Din Daeng
12/1/2020 1:22,13.81474833,100.575265,223,e10-619-40130,Chatu Chak
12/1/2020 1:24,13.82171667,100.5744167,223,e10-619-40130,Chatu Chak
12/1/2020 1:26,13.83058667,100.5584017,223,e10-619-40130,Chatu Chak
12/1/2020 1:28,13.83880333,100.55616,223,e10-619-40130,Chatu Chak
12/1/2020 1:30,13.846775,100.5601633,223,e10-619-40130,Chatu Chak
12/1/2020 1:32,13.846775,100.5601633,223,e10-619-40130,Chatu Chak
12/1/2020 1:34,13.847595,100.5605667,223,e10-619-40130,Chatu Chak
12/1/2020 1:36,13.84846833,100.5594267,223,e10-619-40130,Chatu Chak
12/1/2020 1:38,13.85347167,100.5505517,223,e10-619-40130,Lak Si
12/1/2020 1:40,13.85609667,100.5441533,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 1:42,13.85687667,100.53855,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 1:44,13.85798333,100.530125,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 1:46,13.86016,100.5123533,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 1:48,13.86333833,100.498955,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 1:50,13.86685833,100.49132,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 2:44,13.86690167,100.4913,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 2:46,13.87062167,100.481935,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 2:48,13.87043167,100.4664567,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 2:50,13.87081,100.464895,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 2:52,13.87046167,100.4680217,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 2:54,13.870245,100.4712983,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 2:56,13.87023833,100.471425,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 2:58,13.87476667,100.4824717,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 3:00,13.88399,100.4922067,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 3:02,13.88034833,100.50358,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 3:04,13.87860667,100.511725,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 3:06,13.88405,100.512525,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 3:08,13.88561833,100.5118833,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 3:10,13.88702833,100.5144833,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 3:12,13.88550833,100.5201833,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 3:14,13.883955,100.5257817,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 3:16,13.883485,100.5275467,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 3:18,13.883005,100.5293717,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 3:20,13.88250667,100.5315433,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 3:22,13.88142333,100.5379733,223,e10-619-40130,Mueang Nonthaburi
12/1/2020 3:24,13.88055,100.5437717,223,e10-619-40130,Mueang Nonthaburi
